Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
Roda JC,HOME,1,29.5,12.78848914240672,3.691718824448563,20.0,39.75,12,5
TOP Oss,HOME,1,24.666666666666668,14.2828568570857,4.760952285695233,12.0,35.0,9,8
TOP Oss,HOME,2,77.71428571428571,12.844804824870288,3.432918489617534,68.0,89.5,14,8
TOP Oss,AWAY,1,23.88888888888889,14.608172124206968,3.443179189922347,9.25,34.25,18,7
TOP Oss,AWAY,2,77.3,13.736002976767942,4.343705535343962,63.5,90.0,10,6
VVV,AWAY,1,19.454545454545453,10.893701265994366,3.284574516138447,12.5,27.0,11,6
VVV,AWAY,2,66.26666666666667,12.314142082910008,3.179497813996158,57.5,76.0,15,8
VVV,HOME,1,24.285714285714285,14.896468101693163,5.630335715755219,14.5,33.5,7,7
VVV,HOME,2,69.23529411764706,15.018860691496817,3.6426087651457926,58.0,85.0,17,9
Vitesse Arnhem,AWAY,1,25.181818181818183,11.539654949938337,3.4793368799193534,18.5,33.5,11,8
Vitesse Arnhem,AWAY,2,73.38095238095238,15.308416608115259,3.3405703750765383,60.0,87.0,21,8
Vitesse Arnhem,HOME,1,26.294117647058822,11.993564450791688,2.9088666504863054,21.0,35.0,17,8
Vitesse Arnhem,HOME,2,74.4,13.276545735494103,4.198412398355677,67.0,82.75,10,8
Willem II,AWAY,1,24.3125,15.102841895925858,3.7757104739814644,13.0,35.25,16,9
Willem II,AWAY,2,69.23529411764706,15.006371195948347,3.639579617536556,53.0,81.0,17,7
Willem II,HOME,2,70.27272727272727,15.78664567975673,4.759852765276195,57.0,86.5,11,7
Willem II,HOME,1,31.833333333333332,15.510211689937268,6.332017407149514,28.25,43.25,6,4
ABB,HOME,1,33.1578947368421,10.69404381417129,2.4533819096720477,27.0,42.0,19,10
ABB,HOME,2,67.33333333333333,14.200938936093863,3.666666666666667,54.5,77.0,15,10
ABB,AWAY,1,25.045454545454547,15.53330453520917,3.3117116542764475,14.75,41.75,22,11
ABB,AWAY,2,71.51851851851852,12.783313553735018,2.4601498404614346,63.0,81.5,27,12
Always Ready,AWAY,1,26.884615384615383,13.91208661007233,2.728384657675066,15.5,38.75,26,13
Always Ready,HOME,2,70.13888888888889,13.827824491174676,2.304637415195779,60.25,82.0,36,13
Always Ready,AWAY,2,70.5,15.168105635557414,3.2338509872584122,54.75,84.5,22,8
Always Ready,HOME,1,28.608695652173914,13.72701096522931,2.86227964816983,18.5,40.0,23,11
Aurora,HOME,1,27.789473684210527,13.040871423542988,2.991781087943752,19.5,38.0,19,11
