Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Conceded_Count,Total_Matches,Goal_Match_Count,Conceded_Match_Count,Match_With_Goal_Count,Goals_Scored_Avg,Goals_Scored_Stdev,Goals_Conceded_Avg,Goals_Conceded_Stdev,H1_Goals_Avg,H1_Goals_Stdev,H2_Goals_Avg,H2_Goals_Stdev,H1_Conceded_Avg,H1_Conceded_Stdev,H2_Conceded_Avg,H2_Conceded_Stdev,Recurrence,Total_Buts
E. Frankfurt,AWAY,1,29.90909090909091,12.684278027972624,3.8244537232122098,17.5,39.0,6,3,7,3,3,6,0.8571428571428571,1.812653934349932,0.4285714285714285,0.816496580927726,0,0,0,0,0,0,0,0,0.8571428571428571,9
Sankt Pauli,HOME,1,38.5,9.192388155425116,6.499999999999999,35.25,41.75,2,3,6,2,3,5,0.3333333333333333,0.5163977794943223,0.5,0.6324555320336759,0,0,0,0,0,0,0,0,0.8333333333333334,5
Leverkusen,AWAY,1,23.444444444444443,13.21089617617888,4.403632058726294,11.0,33.0,3,5,6,3,4,5,0.5,1.378404875209022,0.8333333333333334,1.0327955589886446,0,0,0,0,0,0,0,0,0.8333333333333334,8
Union Berlin,HOME,1,27.0,15.735310610216755,6.423913656538876,20.0,39.0,2,4,7,2,3,5,0.2857142857142857,0.8997354108424372,0.5714285714285714,0.7867957924694431,0,0,0,0,0,0,0,0,0.7142857142857143,6
Bayern Munich,HOME,1,29.1875,12.560354294366062,3.140088573591516,22.0,42.25,7,0,7,5,0,5,1.0,1.1126972805283737,0.0,0.7867957924694431,0,0,0,0,0,0,0,0,0.7142857142857143,7
Dortmund,AWAY,1,36.71428571428572,5.96417878432803,2.254247691151357,33.5,40.5,6,0,7,5,0,5,0.8571428571428571,0.816496580927726,0.0,0.3779644730092272,0,0,0,0,0,0,0,0,0.7142857142857143,6
AZ Alkmaar,HOME,1,4.196078431372549,12.04660883044376,1.6868626425346351,0.0,0.0,5,0,7,5,0,5,0.7142857142857143,0.951189731211342,0.0,0.8997354108424372,0,0,0,0,0,0,0,0,0.7142857142857143,5
Hoffenheim,HOME,1,29.714285714285715,12.711075036023844,4.804334777371496,19.0,41.5,3,1,6,3,1,4,0.5,1.3291601358251257,0.1666666666666666,0.752772652709081,0,0,0,0,0,0,0,0,0.6666666666666666,4
Arouca,AWAY,1,0.6739130434782609,4.570700640801811,0.6739130434782609,0.0,0.0,1,5,6,1,4,4,0.1666666666666666,0.5163977794943223,0.8333333333333334,1.2110601416389966,0,0,0,0,0,0,0,0,0.6666666666666666,6
RB Leipzig,HOME,1,32.57142857142857,17.02798816514684,6.435974573247083,22.0,45.0,5,0,6,4,0,4,0.8333333333333334,1.1690451944500122,0.0,0.408248290463863,0,0,0,0,0,0,0,0,0.6666666666666666,5
