Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches,Recurrence
Leverkusen,AWAY,1,28.0,12.346196638178553,3.1877742645778357,24.0,34.5,15,5,3.0
Wolverhampton,HOME,1,29.071428571428573,12.916681436834285,3.4521283221954886,21.0,38.5,14,5,2.8
Bayern Munich,HOME,1,26.42105263157895,13.338814662787213,3.060133954826738,19.5,37.0,19,7,2.7142857142857144
E. Frankfurt,AWAY,1,26.375,15.248497193712783,3.812124298428196,14.0,39.0,16,6,2.6666666666666665
ADO Den Haag,HOME,1,29.25,13.438749941865872,3.359687485466468,20.25,38.5,16,6,2.6666666666666665
FC Eindhoven,HOME,1,26.923076923076923,17.370768254271017,4.817784279613557,5.0,40.0,13,5,2.6
TOP Oss,AWAY,1,23.88888888888889,14.608172124206968,3.443179189922347,9.25,34.25,18,7,2.5714285714285716
Dynamo Dresden,HOME,1,31.0,15.838470344611656,4.089475458272066,18.5,44.5,15,6,2.5
FC Den Bosch,HOME,1,22.25,12.121642237185348,2.710481604127906,15.0,33.25,20,8,2.5
Brest,HOME,1,20.0,13.225320068304242,3.8178210507772072,8.25,31.0,12,5,2.4
